*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
*** 2011 - 2020 (/course/185945/spanish-adjectives/202/)	
labrador	Labrador
antibiótico	"antibiotic, antibacterial"
estancado	stagnant
heráldico	"heraldic, armorial"
alegórico	"allegorical, allegoric"
auditorio	hearing
arenoso	"sandy, gritty"
cosmético	cosmetic
inverosímil	"improbable, incredible, unlikely"
tácito	"tacit, unspoken, implied"
*** 2021 - 2030 (/course/185945/spanish-adjectives/203/)	
gastronómico	gastronomic
contraproducente	"counterproductive, counter-productive"
desarmado	"disarmed, unarmed, defenceless"
picante	"spicy, hot, pungent"
irreal	unreal
cosaco	Cossack
inorgánico	inorganic
travieso	"naughty, mischievous, playful"
petrolífero	petroliferous
flamante	"smart, splendid, brilliant"
*** 2031 - 2040 (/course/185945/spanish-adjectives/204/)	
abolido	abolished
napoleónico	Napoleonic
equívoco	"equivocal, mistaken, ambiguous"
manchego	"native of La Mancha, of La Mancha, Manchegan"
herbáceo	herbaceous
placentero	"pleasurable, pleasant, delightful"
naciente	"rising, nascent, infant"
foráneo	"outsider, stranger, foreign"
escultórico	"sculpture, sculptural"
atrevido	"daring, bold, presumptuous"
*** 2041 - 2050 (/course/185945/spanish-adjectives/205/)	
empobrecido	"impoverished, make poor"
asalariado	"salaried, wage-earning"
operacional	operational
supranacional	supranational
forjado	wrought
profano	"profane, lay, secular"
prusiano	Prussian
pernicioso	"pernicious, harmful, injurious"
auditivo	"auditory, aural"
mercante	"merchant, trading"
*** 2051 - 2060 (/course/185945/spanish-adjectives/206/)	
expreso	"express, specific"
igualado	"fledged, over-familiar, fresh"
hermético	"airtight, tight, hermetic"
malicioso	"malicious, mischievous, catty"
tailandés	Thai
retrasado	"delayed, late, retarded"
castrense	military
gustoso	"delicious, tasty, flavourful"
galés	Welsh
patógeno	"pathogenic, pathogen"
*** 2061 - 2070 (/course/185945/spanish-adjectives/207/)	
augusto	August
anal	anal
sanguinario	"bloodthirsty, sanguinary, bloody"
venerable	venerable
intermitente	intermittent
ucranio	Ukrainian
arrugado	"wrinkled, creased, wizened"
retrospectivo	retrospective
indiscreto	"indiscreet, tactless"
encarnizado	"bitter, grim, cutthroat"
*** 2071 - 2080 (/course/185945/spanish-adjectives/208/)	
aplastante	"crushing, overwhelming, shattering"
platónico	"Platonic, platonic"
participativo	participating
veraniego	"summer, summery, summertime"
infructuoso	"unsuccessful, fruitless, unprofitable"
algebraico	"algebraic, algebraical"
inteligible	"comprehensible, understandable, intelligible"
voluminoso	bulky
carismático	charismatic
sediento	"thirsty, hungry"
*** 2081 - 2090 (/course/185945/spanish-adjectives/209/)	
furtivo	"sneak, sneaky, furtive"
apresurado	"hasty, hurried"
fortuito	"fortuitous, lucky, fortunate"
osado	"courageous, daring, bold"
ganso	"lazy, idle, fairy"
impropio	"inappropriate, improper, unfit"
juicioso	"wise, judicious, reasonable"
mezquino	"petty, mean, shabby"
excluyente	exclusive
vespertino	"evening, vespertine"
*** 2091 - 2100 (/course/185945/spanish-adjectives/210/)	
aritmético	"arithmetic, arithmetical"
circulante	"circulating, working, current"
tentativo	tentative
incontable	"countless, innumerable, incalculable"
estilístico	stylistic
degradado	degraded
dictatorial	dictatorial
ferviente	fervent
lúdico	"playful, fun, ludic"
atípico	atypical
*** 2101 - 2110 (/course/185945/spanish-adjectives/211/)	
estrellado	"starry, stellate, star-filled"
espacioso	"roomy, spacious, airy"
proletario	"proletarian, working-class"
utópico	"Utopian, ideal, perfect"
fichado	"filed, on file"
pantanoso	"boggy, marshy, swampy"
extraviado	"lost, missing, strayed"
revelador	revealing
orbital	"orbital, orbiting"
asistencial	"care, assistance, aid"
*** 2111 - 2120 (/course/185945/spanish-adjectives/212/)	
desértico	"desert, deserted, unpopulated"
momentáneo	"momentary, fleeting, immediate"
dolorido	"sore, aching, painful"
intrincado	"intricate, tricky, involved"
orquestal	orchestral
indeseable	"undesirable, objectionable"
mayúsculo	"capitalised, tremendous, enormous"
culinario	"culinary, cooking, of cooking"
lugareño	"local, village"
dental	dental
*** 2121 - 2130 (/course/185945/spanish-adjectives/213/)	
obsesivo	obsessive
ilusorio	"illusory, unreal, illusive"
imperante	"prevailing, ruling, dominant"
insatisfecho	"dissatisfied, unsatisfied"
educacional	educational
asiduo	"regular, assiduous, frequent"
cojo	"lame, defective, wobbly"
napolitano	Neapolitan
tinto	"red, dark red, burgundy"
soleado	sunny
*** 2131 - 2140 (/course/185945/spanish-adjectives/214/)	
angustiado	"anxious, distressed, anguished"
inexperto	"inexperienced, untrained, inexpert"
razonado	reasoned
compensatorio	"countervailing, compensatory"
nigeriano	Nigerian
raso	"clear, open, cloudless"
impar	"odd, uneven, odd number"
guaraní	Guarani
lozano	"lush, lusty, healthy"
tabú	"taboo, tabu"
*** 2141 - 2150 (/course/185945/spanish-adjectives/215/)	
horario	"timetable, schedule, time"
cauteloso	"cautious, wary, cagey"
compasivo	"compassionate, tender, sympathetic"
frívolo	"frivolous, trifling, flighty"
impuro	"impure, unchaste, adj"
oblicuo	"oblique, skew, sideways"
tópico	"topical, external"
marginado	"outcast, disadvantaged, outsider"
vecinal	local
manifiesto	"manifest, apparent, obvious"
*** 2151 - 2160 (/course/185945/spanish-adjectives/216/)	
amazónico	Amazonian
chipriota	Cypriot
captado	"gain, win"
decimal	decimal
gregoriano	Gregorian
desenfrenado	"wild, rampant, unbridled"
hepático	"hepatic, liver"
extremado	excessive
confinado	"confined, bound"
despavorido	terrified
*** 2161 - 2170 (/course/185945/spanish-adjectives/217/)	
endeble	"feeble, flimsy, wimp"
larguísimo	"sesquipedalian, lengthy, marathon"
vascular	vascular
ártico	"arctic, Arctic"
doctrinal	doctrinal
saharaui	Saharan
aconsejable	"advisable, recommendable"
insuperable	"insurmountable, unbeatable, insuperable"
caritativo	"charitable, benevolent"
prevenido	"warned, prepared, forewarned"
*** 2171 - 2180 (/course/185945/spanish-adjectives/218/)	
abultado	"large, bulging, bulky"
fusionado	consolidated
cínico	"cynic, cynical"
ebrio	"drunk, inebriate, inebriated"
mafioso	"mafia, of the Mafia"
volátil	"volatile, flying, changeable"
empinado	"steep, up-and-down, straight up"
hechicero	"witch, captivating, bewitching"
arrepentido	"repentant, sorry, remorseful"
devorado	"scarf US, scoff UK"
*** 2181 - 2190 (/course/185945/spanish-adjectives/219/)	
emprendedor	"enterprising, entrepreneurial"
ileso	"uninjured, unhurt, unscathed"
desmedido	"excessive, disproportionate"
disminuido	"diminished, handicapped person, handicapped"
traumático	traumatic
comprimido	"compressed, flat, thin"
honroso	honorable
obsceno	"obscene, dirty, lewd"
ocular	"ocular, eye, optical"
anaranjado	"orange, orange-coloured"
*** 2191 - 2200 (/course/185945/spanish-adjectives/220/)	
proteccionista	"protective, protectionist"
carnívoro	carnivorous
gozoso	"pleasant, enjoyable, happy"
inmundo	"filthy, unclean, foul"
porcentual	percentage
amurallado	walled
entretenido	"entertaining, amused, amusing"
sintáctico	syntactic
galáctico	galactic
contagioso	"infectious, contagious"
*** 2201 - 2210 (/course/185945/spanish-adjectives/221/)	
cardinal	"cardinal, fundamental"
tortuoso	"tortuous, winding, circuitous"
amarrado	"tied, tight-fisted, miserly"
itinerario	itinerary
imaginable	imaginable
salino	"saline, salty, spotted"
ondulado	"wavy, corrugated, undulated"
despreocupado	"carefree, slovenly, unconcerned"
cano	"grey, grey-haired, grey-headed"
hipotecario	mortgage
*** 2211 - 2220 (/course/185945/spanish-adjectives/222/)	
cautivo	"captive, fixed, nonliquid"
cosmopolita	cosmopolitan
concurrido	"crowded, busy"
escalonado	"stepped, tiered, staggered"
colgante	"hanging, suspension"
esquivo	"elusive, evasive, shy"
anatómico	"anatomical, anatomic, form-fitting"
perfeccionado	improved
xenófobo	"xenophobic, xenophobe"
grabador	"engraving, recording, which records"
*** 2221 - 2230 (/course/185945/spanish-adjectives/223/)	
vanguardista	"avant-garde artist, forward-looking, avant-garde"
fatídico	"fateful, fatidical"
pegajoso	"sticky, tacky, gooey"
corso	Corsican
higiénico	"hygienic, sanitary"
indocumentado	"illegal alien, undocumented, unidentified"
recortado	cut
florentino	Florentine
duodécimo	twelfth
desdichado	"unhappy, unfortunate, miserable"
*** 2231 - 2240 (/course/185945/spanish-adjectives/224/)	
cinético	kinetic
relleno	"filled, stuffed"
asqueroso	"foul, gross, disgusting"
aparejado	coupled
concesionario	"licensed, franchised"
vario	"various, several, varied"
infundado	"unfounded, groundless, baseless"
explicativo	"explanatory, explicative"
imperativo	"imperative, authoritative, commanding"
colegiado	collegiate
*** 2241 - 2250 (/course/185945/spanish-adjectives/225/)	
regalado	given
desmesurado	"excessive, disproportionate, enormous"
carnal	"carnal, fleshly, by blood"
categórico	"categorical, definite, flat"
integrador	conciliatory
histérico	"hysterical, hysteric"
disparatado	"crazy, goofy, absurd"
copioso	"copious, rich, plentiful"
disimulado	"hidden, concealed"
mentiroso	"lying, false, untruthful"
*** 2251 - 2260 (/course/185945/spanish-adjectives/226/)	
afable	"affable, genial, matey"
inefable	"ineffable, unspeakable, indescribable"
macabro	"macabre, grim, ghoulish"
burdo	"coarse, clumsy, rough"
estacionario	"stationary, unchanging, unchanged"
empatado	tied
caballeresco	"knightly, chivalrous, gentlemanly"
meritorio	"meritorious, worthy, deserving"
sagaz	"sagacious, canny, sharp"
borroso	"blurry, faint, vague"
*** 2261 - 2270 (/course/185945/spanish-adjectives/227/)	
supersticioso	superstitious
repetitivo	"repetitive, repeated, repeating"
bacteriano	bacterial
inapropiado	"inappropriate, unsuitable"
ontológico	ontological
glacial	"glacial, frosty, stony"
echado	"lying, laid"
mortífero	"lethal, deadly, mind-numbing"
recluso	imprisoned
confiable	"trustworthy, reliable"
*** 2271 - 2280 (/course/185945/spanish-adjectives/228/)	
bioquímico	biochemical
profético	"prophetic, prophetical, predictive"
antiaéreo	antiaircraft
inalámbrico	"wireless mike/telephone, wireless, cordless"
loable	"praiseworthy, laudable, worthy"
desocupado	"idle, unoccupied, empty"
docto	"learned, knowledgeable, well versed"
entrañable	"intimate, snug, cozy"
programático	programmatic
ateo	atheistic
*** 2281 - 2290 (/course/185945/spanish-adjectives/229/)	
amerindio	Amerindian
distorsionado	distorted
colonizador	"colonial, colonizing, colonising"
malévolo	"malevolent, malicious, spiteful"
bayo	bay
heterosexual	"heterosexual, straight"
pelado	"bare, bald, broke"
metabólico	metabolic
disciplinado	"disciplined, trained, well-behaved"
irreparable	"irreparable, irretrievable, unrepairable"
*** 2291 - 2300 (/course/185945/spanish-adjectives/230/)	
agravado	aggravated
itinerante	"itinerant, peripatetic, traveling"
resumido	"summarized, summarised"
descalzo	"barefoot, bare, barefooted"
prolijo	"prolix, wordy, long-winded"
arreglado	"arranged, neat, settled"
inacabado	"unfinished, incomplete"
cándido	"adj, naïve, ingenuous"
inconcluso	unfinished
dominador	domineering
*** 2301 - 2310 (/course/185945/spanish-adjectives/231/)	
chocante	"striking, shocking, surprising"
inestimable	"invaluable, inestimable, priceless"
indivisible	indivisible
campestre	"country, rural, countryside"
ponderado	"weighted, balanced, prudent"
arterial	arterial
catastral	"cadastral, land register"
estudioso	"studious, bookish"
vikingo	"Viking, Norse"
vencedor	"victor, victorious, conquering"
*** 2311 - 2320 (/course/185945/spanish-adjectives/232/)	
falsificado	"falsified, forged, counterfeit"
coloquial	"colloquial, coloquial, informal"
cauto	"cautious, careful, wary"
perturbado	disturbed
inexorable	"inexorable, relentless, ruthless"
entreabierto	"ajar, half-open"
dinástico	dynastic
afecto	"attached, fond, keen"
funeral	funeral
anímico	"of mind, mental, emotional"
*** 2321 - 2330 (/course/185945/spanish-adjectives/233/)	
incontrolado	"uncontrolled, unrestrained, unauthorised"
cuñado	sister-in-law
siderúrgico	iron and steel
turbulento	"turbulent, wild, troubled"
milenario	"millenary, millennial, millennium"
impedido	"disabled, handicapped, hindered"
bávaro	Bavarian
estirado	"drawn, stretched, stiff"
previsor	foresighted
nutritivo	"nutritive, nutrient, nutritious"
*** 2331 - 2340 (/course/185945/spanish-adjectives/234/)	
asirio	Assyrian
conciso	"concise, short, pithy"
arbitral	arbitral
combativo	combative
soñador	"dreamy, dreamer"
estilizado	"stylized, slender, slim"
expansivo	expansive
obstinado	"obstinate, stubborn, obdurate"
bellísimo	"gorgeous, lovely"
seductor	seductive
*** 2341 - 2350 (/course/185945/spanish-adjectives/235/)	
cruento	bloody
soñado	"dreamed-about, dreamy, mad"
carnoso	"full, thick, fleshy"
suplente	"substitute, surrogate"
pobrecito	poor
inconfundible	unmistakable
descompuesto	"impolite, rude, drunk"
puerco	sow
rancio	"musty, rancid, fusty"
cromático	"chromatic, colour"
*** 2351 - 2360 (/course/185945/spanish-adjectives/236/)	
metalúrgico	"metallurgical, metalworker, metallurgist"
ecuatorial	equatorial
burro	"furious, beside himself, brainless"
cítrico	"citric, citrus"
quitado	taken
diligente	"diligent, hard-working, assiduous"
derechista	"rightist, right-wing"
atropellado	"rushed, hurried"
intransigente	"intransigent, uncompromising, diehard"
disgustado	"upset, displeased, annoyed"
*** 2361 - 2370 (/course/185945/spanish-adjectives/237/)	
puntero	"leading, cutting-edge, state-of-the-art"
suspenso	"on the back burner, pending, suspended"
desafiante	"challenging, rebellious, defiant"
receptivo	"receptive, open"
bronco	"adj, rough, course"
miliciano	"militiwoman, militia"
deformado	"distorted, deformed"
belicoso	"warlike, bellicose, pugnacious"
individualizado	individualized
abdominal	abdominal
*** 2371 - 2380 (/course/185945/spanish-adjectives/238/)	
antagónico	antagonistic
truncado	"truncated, cut short"
capón	castrated
volante	flying
ayudante	assistant
pícaro	"mischievous, impish, crafty"
postrer	"last, final"
erizado	"standing up on end, prickly, bristling with"
descubridor	"inquisitive, investigative, of inquiry"
pródigo	"lavish, prodigal, wasteful"
*** 2381 - 2390 (/course/185945/spanish-adjectives/239/)	
adinerado	"wealthy, moneyed, rich"
ruinoso	"ruinous, ruined, tumbledown"
excelso	"excellent, sublime"
bohemio	"Bohemian, bohemian"
congénito	congenital
sumario	"summary, brief, short"
peatonal	pedestrian
descontento	"discontent, discontented, disgruntled"
federativo	"federative, federate"
terrorífico	"terrifying, horrific, terrific"
*** 2391 - 2400 (/course/185945/spanish-adjectives/240/)	
sitiado	"besieged, surrounded"
mestizo	"mongrel, crossbred, mestizo"
bonachón	"kindly, affable, easygoing"
giratorio	"rotatory, gyratory, revolving"
conciliador	conciliatory
desconfiado	"suspicious, mistrustful, distrustful"
indecible	"unspeakable, unutterable, untold"
apócrifo	"apocryphal, spoof, inauthentic"
reactivo	reactive
facultativo	"optional, medical, facultative"
*** 2401 - 2410 (/course/185945/spanish-adjectives/241/)	
obeso	obese
contrapuesto	"opposed, countered"
candente	"red-hot, current, latest"
versado	"versed, well versed, knowledgeable"
primaveral	"spring, spring-like"
torrencial	"torrential, pouring, driving"
tipográfico	typographic
sobrehumano	superhuman
lánguido	"languorous, languid, limp"
arbóreo	arboreal
*** 2411 - 2420 (/course/185945/spanish-adjectives/242/)	
desconcertante	"baffling, embarrassing, disconcerting"
tamaño	"huge, colossal, such a large"
incendiario	incendiary
exiguo	"meager, scanty, exiguous"
confiscado	"confiscated, forfeit"
monástico	"monastic, monkish"
cartesiano	Cartesian
finés	Finnish
verosímil	"plausible, realistic, verisimilar"
aprovechado	"resourceful, hard-working"
*** 2421 - 2430 (/course/185945/spanish-adjectives/243/)	
zoológico	"zoological, zoo"
animoso	"spirited, game"
azotado	whipped
escueto	"succinct, concise, frank"
combatiente	"combatant, fighting"
gallardo	"dashing, gallant, debonair"
cantábrico	"Cantabrian, of Cantabria"
centésimo	hundredth
lechero	"milk, dairy, milkwoman"
vanidoso	"vain, conceited, smug"
*** 2431 - 2440 (/course/185945/spanish-adjectives/244/)	
mutilado	"cripple, hacked about"
pronóstico	prognostic
desechado	waste
curvado	bent
preceptivo	"prescriptive, mandatory, compulsory"
